epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7789,1.2938,1.2330,1.1577,1.2282,1.00,0.000000,101.7
2,4,0.7757,1.2188,1.0853,1.0090,1.1044,1.00,0.000000,102.8
3,1,0.7363,1.3658,1.2374,1.1468,1.2500,1.00,0.122150,155.8
4,1,0.7185,1.3748,1.2826,1.1634,1.2736,0.67,0.116908,152.4
5,1,0.7007,1.3759,1.2721,1.1631,1.2704,1.00,0.116726,157.3
6,1,0.6923,1.3744,1.2676,1.1813,1.2744,1.00,0.116638,156.4
7,1,0.6822,1.3737,1.2642,1.1795,1.2724,1.00,0.116580,158.3
