epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7779,1.2347,1.2236,1.1361,1.1981,0.67,0.000000,102.1
2,4,0.7758,1.1122,1.0774,1.0049,1.0648,1.00,0.000000,102.7
3,2,0.7684,0.8668,0.8648,0.6752,0.8023,1.00,0.000000,146.3
4,2,0.7624,0.8497,0.7940,0.6186,0.7541,0.67,0.000000,147.5
5,2,0.7487,0.8540,0.7174,0.5473,0.7062,0.67,0.000000,148.3
6,2,0.7408,0.8757,0.6487,0.4951,0.6732,0.67,0.000000,149.6
7,2,0.7300,0.8630,0.6038,0.4438,0.6369,0.67,0.000000,150.3
