Model,Scenario,Method,AUC
Vanilla,3,gate CR_1,0.7407
Vanilla,3,gate CR_2,0.7371
Vanilla,3,gate CR_3,0.7646
Vanilla,3,gate CR_4,0.7105
Vanilla,3,gate CR_5,0.6695
Vanilla,3,Vanilla,0.7353
MoE,3,SUM,0.6897
MoE,3,concat CR_0,0.6835
MoE,3,concat CR_1,0.7411
MoE,3,concat CR_2,0.7288
MoE,3,concat CR_3,0.7259
MoE,3,concat CR_4,0.6762
MoE,3,concat CR_5,0.7003
MoE,3,gate CR_0,0.7124
MoE,3,gate CR_1,0.6999
MoE,3,gate CR_2,0.7115
MoE,3,gate CR_3,0.6989
MoE,3,gate CR_4,0.7295
MoE,3,gate CR_5,0.6805
MoE,3,Vanilla,0.6197
Vanilla,8,SUM,0.7456
Vanilla,8,concat CR_0,0.7994
Vanilla,8,concat CR_1,0.7771
Vanilla,8,concat CR_2,0.7597
Vanilla,8,concat CR_3,0.7455
Vanilla,8,concat CR_4,0.7252
Vanilla,8,concat CR_5,0.7536
Vanilla,8,gate CR_0,0.7732
Vanilla,8,gate CR_1,0.7739
Vanilla,8,gate CR_2,0.7785
Vanilla,8,gate CR_3,0.7628
Vanilla,8,gate CR_4,0.7411
Vanilla,8,gate CR_5,0.7553
Vanilla,8,Vanilla,0.7777
MoE,8,SUM,0.7401
MoE,8,concat CR_0,0.7107
MoE,8,concat CR_1,0.7642
MoE,8,concat CR_2,0.7741
MoE,8,concat CR_3,0.7362
MoE,8,concat CR_4,0.7510
MoE,8,concat CR_5,0.7774
MoE,8,gate CR_0,0.7832
MoE,8,gate CR_1,0.7771
MoE,8,gate CR_2,0.7801
MoE,8,gate CR_3,0.7942
MoE,8,gate CR_4,0.7651
MoE,8,gate CR_5,0.7676
MoE,8,Vanilla,0.7523
Vanilla,5,SUM,0.6619
Vanilla,5,concat CR_0,0.6611
Vanilla,5,concat CR_1,0.6432
Vanilla,5,concat CR_2,0.6833
Vanilla,5,concat CR_3,0.6624
Vanilla,5,concat CR_4,0.6702
Vanilla,5,concat CR_5,0.6714
Vanilla,5,gate CR_0,0.6264
