epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7779,1.2347,1.2236,1.1361,1.1981,0.67,0.000000,101.0
2,4,0.7758,1.1122,1.0774,1.0049,1.0648,1.00,0.000000,101.7
3,1,0.7415,1.3314,0.9778,0.8362,1.0485,1.00,0.042471,153.7
4,1,0.7271,1.3505,0.9347,0.7984,1.0279,1.00,0.040094,154.4
5,1,0.7082,1.3489,0.9220,0.7833,1.0181,1.00,0.039928,154.6
6,1,0.6977,1.3484,0.8933,0.7871,1.0096,1.00,0.039882,152.6
7,1,0.6897,1.3428,0.8654,0.7724,0.9935,1.00,0.039916,151.9
