epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7789,1.2938,1.2330,1.1577,1.2282,1.00,0.000000,101.9
2,4,0.7757,1.2188,1.0853,1.0090,1.1044,1.00,0.000000,100.1
3,1,0.7694,0.0744,0.4807,0.2132,0.2561,0.67,0.000000,132.8
4,1,0.7614,0.1496,0.4698,0.2128,0.2774,0.67,0.000000,134.7
5,1,0.7528,0.1397,0.4526,0.1928,0.2617,0.67,0.000000,132.2
6,1,0.7405,0.2021,0.4360,0.1855,0.2745,0.67,0.000000,130.1
7,1,0.7316,0.2260,0.4218,0.1958,0.2812,0.67,0.000000,132.5
