epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7779,1.2347,1.2236,1.1361,1.1981,0.67,0.000000,102.0
2,4,0.7758,1.1122,1.0774,1.0049,1.0648,1.00,0.000000,100.1
3,2,0.7554,1.3792,1.3336,1.2766,1.3298,1.00,0.237531,167.3
4,2,0.7456,1.3787,1.3072,1.2468,1.3109,1.00,0.232368,160.1
5,2,0.7288,1.3731,1.2780,1.1862,1.2791,1.00,0.232830,165.3
6,2,0.7208,1.3714,1.2371,1.1438,1.2508,1.00,0.233244,164.3
7,2,0.7095,1.3641,1.1953,1.0875,1.2156,1.00,0.233943,154.4
