epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7779,1.2347,1.2236,1.1361,1.1981,0.67,0.000000,103.7
2,4,0.7758,1.1122,1.0774,1.0049,1.0648,1.00,0.000000,101.1
3,1,0.7305,1.3660,1.2321,1.1472,1.2484,1.00,0.122670,154.8
4,1,0.7142,1.3756,1.2459,1.1599,1.2605,1.00,0.116748,151.9
5,1,0.6976,1.3759,1.2439,1.1550,1.2583,1.00,0.116557,151.8
6,1,0.6899,1.3752,1.2171,1.1706,1.2543,1.00,0.116421,153.6
7,1,0.6825,1.3743,1.2125,1.1686,1.2518,1.00,0.116603,155.3
