epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7789,1.2938,1.2330,1.1577,1.2282,1.00,0.000000,97.4
2,4,0.7757,1.2188,1.0853,1.0090,1.1044,1.00,0.000000,102.4
3,1,0.7446,1.3319,1.0171,0.8156,1.0548,1.00,0.041950,151.4
4,1,0.7283,1.3475,1.0353,0.7819,1.0549,1.00,0.040090,154.0
5,1,0.7103,1.3470,1.0150,0.7975,1.0532,1.00,0.039983,155.6
6,1,0.6992,1.3468,0.9867,0.7909,1.0415,1.00,0.039896,153.5
7,1,0.6929,1.3418,0.9758,0.7847,1.0341,1.00,0.039864,153.6
