Model,Scenario,Method,AUC
Vanilla,3,gate CR_1,0.7670
Vanilla,3,gate CR_2,0.7138
Vanilla,3,gate CR_3,0.7373
Vanilla,3,gate CR_4,0.7455
Vanilla,3,gate CR_5,0.7295
Vanilla,3,Vanilla,0.7260
MoE,3,SUM,0.7132
MoE,3,concat CR_0,0.7085
MoE,3,concat CR_1,0.7196
MoE,3,concat CR_2,0.7346
MoE,3,concat CR_3,0.7195
MoE,3,concat CR_4,0.7432
MoE,3,concat CR_5,0.6945
MoE,3,gate CR_0,0.6704
MoE,3,gate CR_1,0.7018
MoE,3,gate CR_2,0.7181
MoE,3,gate CR_3,0.7316
MoE,3,gate CR_4,0.7310
MoE,3,gate CR_5,0.6950
MoE,3,Vanilla,0.7087
Vanilla,8,SUM,0.7744
Vanilla,8,concat CR_0,0.7609
Vanilla,8,concat CR_1,0.7571
Vanilla,8,concat CR_2,0.7639
Vanilla,8,concat CR_3,0.7655
Vanilla,8,concat CR_4,0.7738
Vanilla,8,concat CR_5,0.7710
Vanilla,8,gate CR_0,0.6886
Vanilla,8,gate CR_1,0.7630
Vanilla,8,gate CR_2,0.7835
Vanilla,8,gate CR_3,0.7831
Vanilla,8,gate CR_4,0.6070
Vanilla,8,gate CR_5,0.7581
Vanilla,8,Vanilla,0.7592
MoE,8,SUM,0.7825
MoE,8,concat CR_0,0.7325
MoE,8,concat CR_1,0.7496
MoE,8,concat CR_2,0.7592
MoE,8,concat CR_3,0.7558
MoE,8,concat CR_4,0.7392
MoE,8,concat CR_5,0.7617
MoE,8,gate CR_0,0.7478
MoE,8,gate CR_1,0.7590
MoE,8,gate CR_2,0.7694
MoE,8,gate CR_3,0.7842
MoE,8,gate CR_4,0.7813
MoE,8,gate CR_5,0.7717
MoE,8,Vanilla,0.7654
Vanilla,5,SUM,0.6457
Vanilla,5,concat CR_0,0.6722
Vanilla,5,concat CR_1,0.6213
Vanilla,5,concat CR_2,0.6607
Vanilla,5,concat CR_3,0.6588
Vanilla,5,concat CR_4,0.6318
Vanilla,5,concat CR_5,0.6486
Vanilla,5,gate CR_0,0.6716
Vanilla,5,gate CR_1,0.6575
Vanilla,5,gate CR_2,0.6751
Vanilla,5,gate CR_3,0.6619
Vanilla,5,gate CR_4,0.6738
Vanilla,5,gate CR_5,0.6677
Vanilla,5,Vanilla,0.6208
MoE,5,SUM,0.6661
MoE,5,concat CR_0,0.6698
MoE,5,concat CR_1,0.6471
MoE,5,concat CR_2,0.6555
MoE,5,concat CR_3,0.6456
MoE,5,concat CR_4,0.6604
MoE,5,concat CR_5,0.6769
MoE,5,gate CR_0,0.6602
MoE,5,gate CR_1,0.6813
MoE,5,gate CR_2,0.6737
MoE,5,gate CR_3,0.6725
MoE,5,gate CR_4,0.6694
MoE,5,gate CR_5,0.6321
MoE,5,Vanilla,0.6420
