epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7779,1.2347,1.2236,1.1361,1.1981,0.67,0.000000,103.1
2,4,0.7758,1.1122,1.0774,1.0049,1.0648,1.00,0.000000,102.3
3,2,0.7585,1.3646,1.1347,1.0175,1.1723,1.00,0.080814,160.8
4,2,0.7513,1.3615,1.0587,0.9164,1.1122,1.00,0.079312,164.6
5,2,0.7357,1.3418,0.9898,0.8376,1.0564,1.00,0.079670,164.9
6,2,0.7280,1.3318,0.9189,0.7672,1.0059,1.00,0.080005,165.9
7,2,0.7172,1.3151,0.8719,0.6980,0.9617,1.00,0.080377,164.5
