scenario,none,encourage,suppress
0,0.6850377397357622,0.6879578301327146,0.6856621301783068
1,0.7169203118774357,0.7238459649355296,0.7209388063756371
2,0.7855498826423634,0.7917170627408908,0.7866424241388099
3,0.7414731339446397,0.7281429428400035,0.7192261547690462
4,0.7110123513706306,0.7156022106519312,0.7149274301989802
5,0.6411485383588069,0.6869713607360143,0.664774076272444
6,0.7221555879075934,0.7306156817305565,0.7292040746729387
8,0.6662664048483479,0.7029963128823089,0.7382499611510588
