epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7779,1.2347,1.2236,1.1361,1.1981,0.67,0.000000,1210.8
2,4,0.7758,1.1122,1.0774,1.0049,1.0648,1.00,0.000000,98.5
3,1,0.7672,0.6453,0.4322,0.3590,0.4789,0.33,0.000000,133.9
4,1,0.7608,0.6661,0.4371,0.2937,0.4657,0.33,0.000000,132.6
5,1,0.7483,0.6988,0.4049,0.2726,0.4588,0.33,0.000000,127.6
6,1,0.7390,0.6648,0.3949,0.2645,0.4414,0.33,0.000000,127.0
7,1,0.7292,0.7061,0.3098,0.2554,0.4237,0.33,0.000000,130.8
