epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7789,1.2938,1.2330,1.1577,1.2282,1.00,0.000000,101.1
2,4,0.7757,1.2188,1.0853,1.0090,1.1044,1.00,0.000000,101.2
3,2,0.7606,1.3648,1.1528,1.0062,1.1746,1.00,0.080443,161.5
4,2,0.7481,1.3601,1.0845,0.9156,1.1200,1.00,0.079478,159.1
5,2,0.7371,1.3473,1.0066,0.8329,1.0623,1.00,0.079940,161.7
6,2,0.7261,1.3322,0.9401,0.7631,1.0118,1.00,0.080289,161.3
7,2,0.7185,1.3223,0.8959,0.7047,0.9743,1.00,0.080536,161.6
