Model,Scenario,Method,AUC
MoE_V2,6,gate CR_4,0.7121
MoE_V2,6,gate CR_5,0.7223
MoE_V2,6,Vanilla,0.7157
Vanilla,3,SUM,0.7055
Vanilla,3,concat CR_0,0.7051
Vanilla,3,concat CR_1,0.7122
Vanilla,3,concat CR_2,0.7214
Vanilla,3,concat CR_3,0.7270
Vanilla,3,concat CR_4,0.7001
Vanilla,3,concat CR_5,0.6899
Vanilla,3,gate CR_0,0.7109
Vanilla,3,gate CR_1,0.7100
Vanilla,3,gate CR_2,0.7344
Vanilla,3,gate CR_3,0.7274
Vanilla,3,gate CR_4,0.7296
Vanilla,3,gate CR_5,0.6992
Vanilla,3,Vanilla,0.6770
MoE_V2,3,SUM,0.7193
MoE_V2,3,concat CR_0,0.7089
MoE_V2,3,concat CR_1,0.7166
MoE_V2,3,concat CR_2,0.7164
MoE_V2,3,concat CR_3,0.6743
MoE_V2,3,concat CR_4,0.7051
MoE_V2,3,concat CR_5,0.7146
MoE_V2,3,gate CR_0,0.6879
MoE_V2,3,gate CR_1,0.6863
MoE_V2,3,gate CR_2,0.7156
MoE_V2,3,gate CR_3,0.7163
MoE_V2,3,gate CR_4,0.6845
MoE_V2,3,gate CR_5,0.7100
MoE_V2,3,Vanilla,0.6975
Vanilla,8,SUM,0.7586
Vanilla,8,concat CR_0,0.7946
Vanilla,8,concat CR_1,0.8038
Vanilla,8,concat CR_2,0.7929
Vanilla,8,concat CR_3,0.7855
Vanilla,8,concat CR_4,0.7500
Vanilla,8,concat CR_5,0.7331
Vanilla,8,gate CR_0,0.7526
Vanilla,8,gate CR_1,0.6651
Vanilla,8,gate CR_2,0.7578
Vanilla,8,gate CR_3,0.7615
Vanilla,8,gate CR_4,0.5519
Vanilla,8,gate CR_5,0.7624
Vanilla,8,Vanilla,0.7718
MoE_V2,8,SUM,0.7926
MoE_V2,8,concat CR_0,0.7677
MoE_V2,8,concat CR_1,0.7521
MoE_V2,8,concat CR_2,0.7437
MoE_V2,8,concat CR_3,0.7274
MoE_V2,8,concat CR_4,0.7402
MoE_V2,8,concat CR_5,0.7783
MoE_V2,8,gate CR_0,0.6448
MoE_V2,8,gate CR_1,0.7899
MoE_V2,8,gate CR_2,0.7751
MoE_V2,8,gate CR_3,0.7789
MoE_V2,8,gate CR_4,0.7433
MoE_V2,8,gate CR_5,0.8031
MoE_V2,8,Vanilla,0.7747
Vanilla,5,SUM,0.6709
Vanilla,5,concat CR_0,0.6763
Vanilla,5,concat CR_1,0.6550
Vanilla,5,concat CR_2,0.6277
Vanilla,5,concat CR_3,0.6622
Vanilla,5,concat CR_4,0.6910
Vanilla,5,concat CR_5,0.6595
Vanilla,5,gate CR_0,0.6608
Vanilla,5,gate CR_1,0.6655
Vanilla,5,gate CR_2,0.6663
Vanilla,5,gate CR_3,0.6936
Vanilla,5,gate CR_4,0.6715
Vanilla,5,gate CR_5,0.6793
Vanilla,5,Vanilla,0.6829
MoE_V2,5,SUM,0.6587
MoE_V2,5,concat CR_0,0.6839
MoE_V2,5,concat CR_1,0.6836
MoE_V2,5,concat CR_2,0.6609
MoE_V2,5,concat CR_3,0.6696
MoE_V2,5,concat CR_4,0.6514
MoE_V2,5,concat CR_5,0.6913
MoE_V2,5,gate CR_0,0.6598
MoE_V2,5,gate CR_1,0.6719
MoE_V2,5,gate CR_2,0.6721
MoE_V2,5,gate CR_3,0.6769
MoE_V2,5,gate CR_4,0.6566
MoE_V2,5,gate CR_5,0.6893
MoE_V2,5,Vanilla,0.6849
