Model,Scenario,Method,AUC
Vanilla,3,gate CR_1,0.7215
Vanilla,3,gate CR_2,0.7488
Vanilla,3,gate CR_3,0.7423
Vanilla,3,gate CR_4,0.7332
Vanilla,3,gate CR_5,0.7065
Vanilla,3,Vanilla,0.7175
MoE,3,SUM,0.6995
MoE,3,concat CR_0,0.7093
MoE,3,concat CR_1,0.7346
MoE,3,concat CR_2,0.7006
MoE,3,concat CR_3,0.7134
MoE,3,concat CR_4,0.6703
MoE,3,concat CR_5,0.6859
MoE,3,gate CR_0,0.7044
MoE,3,gate CR_1,0.7277
MoE,3,gate CR_2,0.7347
MoE,3,gate CR_3,0.7295
MoE,3,gate CR_4,0.6957
MoE,3,gate CR_5,0.7615
MoE,3,Vanilla,0.7229
Vanilla,8,SUM,0.7304
Vanilla,8,concat CR_0,0.7807
Vanilla,8,concat CR_1,0.7621
Vanilla,8,concat CR_2,0.7723
Vanilla,8,concat CR_3,0.7287
Vanilla,8,concat CR_4,0.7288
Vanilla,8,concat CR_5,0.7625
Vanilla,8,gate CR_0,0.7714
Vanilla,8,gate CR_1,0.7508
Vanilla,8,gate CR_2,0.7593
Vanilla,8,gate CR_3,0.7756
Vanilla,8,gate CR_4,0.7333
Vanilla,8,gate CR_5,0.7453
Vanilla,8,Vanilla,0.7619
MoE,8,SUM,0.7512
MoE,8,concat CR_0,0.7581
MoE,8,concat CR_1,0.7210
MoE,8,concat CR_2,0.7550
MoE,8,concat CR_3,0.7733
MoE,8,concat CR_4,0.7554
MoE,8,concat CR_5,0.7809
MoE,8,gate CR_0,0.7861
MoE,8,gate CR_1,0.7520
MoE,8,gate CR_2,0.7952
MoE,8,gate CR_3,0.7806
MoE,8,gate CR_4,0.6731
MoE,8,gate CR_5,0.7426
MoE,8,Vanilla,0.7722
Vanilla,5,SUM,0.6252
Vanilla,5,concat CR_0,0.6801
Vanilla,5,concat CR_1,0.6175
Vanilla,5,concat CR_2,0.6818
Vanilla,5,concat CR_3,0.6240
Vanilla,5,concat CR_4,0.6863
Vanilla,5,concat CR_5,0.6593
Vanilla,5,gate CR_0,0.6814
Vanilla,5,gate CR_1,0.6564
Vanilla,5,gate CR_2,0.6670
Vanilla,5,gate CR_3,0.6704
Vanilla,5,gate CR_4,0.6432
Vanilla,5,gate CR_5,0.6795
Vanilla,5,Vanilla,0.6771
MoE,5,SUM,0.6840
MoE,5,concat CR_0,0.6872
MoE,5,concat CR_1,0.6739
MoE,5,concat CR_2,0.6761
MoE,5,concat CR_3,0.6769
MoE,5,concat CR_4,0.6656
MoE,5,concat CR_5,0.6617
MoE,5,gate CR_0,0.6778
MoE,5,gate CR_1,0.6648
MoE,5,gate CR_2,0.6770
MoE,5,gate CR_3,0.6795
MoE,5,gate CR_4,0.6715
MoE,5,gate CR_5,0.5821
MoE,5,Vanilla,0.6627
