model,router_mode,expert_mode,shared_mode,seed,mean_per_scenario,test_auc_all,s0_auc,s1_auc,s2_auc,s3_auc,s4_auc,s5_auc,s6_auc,s8_auc
partial-shared,suppress,none,none,123,0.5,0.7235,0.7647,0.6668,0.7118,0.7904,0.7439,0.7102,0.6729,0.7136,0.7786
partial-shared,encourage,suppress,encourage,123,0.5,0.6953,0.7575,0.6382,0.7023,0.7811,0.6460,0.7032,0.6563,0.7119,0.7233
partial-shared,suppress,none,suppress,123,0.5,0.7186,0.7643,0.6703,0.7115,0.7871,0.7452,0.7071,0.6555,0.7199,0.7519
partial-shared,encourage,suppress,suppress,123,0.5,0.6997,0.7507,0.6227,0.6919,0.7736,0.6907,0.6985,0.6504,0.6973,0.7723
partial-shared,suppress,encourage,encourage,123,0.5,0.7159,0.7646,0.6722,0.7124,0.7842,0.7333,0.7100,0.6673,0.7207,0.7268
partial-shared,suppress,encourage,suppress,123,0.5,0.7218,0.7640,0.6703,0.7103,0.7979,0.7405,0.7072,0.6717,0.7186,0.7580
fully-routed,suppress,encourage,none,42,0.5,0.7173,0.7715,0.6910,0.7209,0.7831,0.7328,0.7170,0.6228,0.7249,0.7461
partial-shared,suppress,suppress,none,123,0.5,0.7147,0.7634,0.6719,0.7103,0.7799,0.7020,0.7081,0.6689,0.7257,0.7506
partial-shared,suppress,suppress,encourage,123,0.5,0.7138,0.7660,0.6714,0.7136,0.7963,0.7322,0.7105,0.6095,0.7177,0.7592
partial-shared,suppress,suppress,suppress,123,0.5,0.7232,0.7644,0.6783,0.7108,0.7918,0.7185,0.7078,0.6828,0.7233,0.7722
partial-shared,suppress,none,encourage,42,0.5,0.6969,0.7671,0.6786,0.7154,0.7831,0.6846,0.7091,0.6346,0.7190,0.6512
