tag,model,backbone,router_mode,expert_mode,shared_mode,seed,scenario,method,auc
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,6,gate CR_3,0.7271
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,6,concat CR_3,0.7213
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,6,concat CR_1,0.7267
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,3,SUM,0.7173
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,6,concat CR_3,0.7244
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,3,gate CR_1,0.7361
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,3,SUM,0.6799
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,3,gate CR_3,0.7307
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,3,gate CR_1,0.7547
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,3,concat CR_1,0.7307
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,3,concat CR_3,0.7088
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,3,gate CR_3,0.7501
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,3,concat CR_1,0.7294
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,8,SUM,0.7687
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,3,concat CR_3,0.7178
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,8,gate CR_1,0.7632
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,8,SUM,0.7121
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,8,gate CR_3,0.7804
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,8,concat CR_1,0.7565
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,8,gate CR_1,0.7776
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,8,concat CR_3,0.7680
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,5,SUM,0.6764
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,8,gate CR_3,0.7740
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,5,gate CR_1,0.6617
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,5,gate CR_3,0.6545
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,5,concat CR_1,0.6772
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,8,concat CR_1,0.7587
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,5,concat CR_3,0.6793
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,8,concat CR_3,0.7543
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,5,SUM,0.6716
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,5,gate CR_1,0.6852
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,5,gate CR_3,0.6918
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,5,concat CR_1,0.6435
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,5,concat CR_3,0.6546
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,1,SUM,0.7344
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,1,gate CR_1,0.7346
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,1,SUM,0.7335
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,1,gate CR_3,0.7351
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,1,gate CR_1,0.7340
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,1,concat CR_1,0.7349
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,1,gate CR_3,0.7347
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,1,concat CR_3,0.7348
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,1,concat CR_1,0.7340
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,0,SUM,0.7115
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,0,gate CR_1,0.7138
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,1,concat CR_3,0.7356
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,0,gate CR_3,0.7138
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,0,concat CR_1,0.7125
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,0,SUM,0.7178
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,0,concat CR_3,0.7135
